election_year,avail_per401,avail_per403,avail_per405,avail_per412,avail_per413,avail_per414,avail_per415,avail_per4012,avail_per4123,avail_per4124,avail_per503,avail_per504,avail_per505,avail_per506,avail_per507,avail_per701,avail_per702,avail_per5041,avail_per5061,avail_per107,avail_per108,avail_per109,avail_per110,avail_per601,avail_per602,avail_per603,avail_per604,avail_per607,avail_per608,avail_per2022,avail_per2023,avail_per7062
1995,1,1,1,1,1,1,1,.3561644,.3561644,.3561644,1,1,1,1,1,1,1,.3561644,.3561644,1,1,1,1,1,1,1,1,1,1,.3561644,.3561644,.3561644
1996,1,1,1,1,1,1,1,.48192772,.48192772,.48192772,1,1,1,1,1,1,1,.48192772,.48192772,1,1,1,1,1,1,1,1,1,1,.48192772,.48192772,.48192772
1997,1,1,1,1,1,1,1,.52542371,.52542371,.52542371,1,1,1,1,1,1,1,.52542371,.52542371,1,1,1,1,1,1,1,1,1,1,.52542371,.52542371,.52542371
1998,1,1,1,1,1,1,1,.61250001,.61250001,.61250001,1,1,1,1,1,1,1,.61250001,.61250001,1,1,1,1,1,1,1,1,1,1,.61250001,.61250001,.61250001
1999,1,1,1,1,1,1,1,.10294118,.10294118,.10294118,1,1,1,1,1,1,1,.10294118,.10294118,1,1,1,1,1,1,1,1,1,1,.10294118,.10294118,.10294118
2000,1,1,1,1,1,1,1,.68085104,.68085104,.68085104,1,1,1,1,1,1,1,.68085104,.68085104,1,1,1,1,1,1,1,1,1,1,.68085104,.68085104,.68085104
2001,.95238096,.95238096,.95238096,.95238096,.95238096,.95238096,.95238096,.25396827,.25396827,.25396827,.95238096,.95238096,.95238096,.95238096,.95238096,.95238096,.95238096,.25396827,.25396827,.95238096,.95238096,.95238096,.95238096,.95238096,.95238096,.95238096,.95238096,.95238096,.95238096,.25396827,.25396827,.25396827
2002,.96666664,.96666664,.96666664,.96666664,.96666664,.96666664,.96666664,.41111112,.41111112,.41111112,.96666664,.96666664,.96666664,.96666664,.96666664,.96666664,.96666664,.41111112,.41111112,.96666664,.96666664,.96666664,.96666664,.96666664,.96666664,.96666664,.96666664,.96666664,.96666664,.41111112,.41111112,.41111112
2003,.97297299,.97297299,.97297299,.97297299,.97297299,.97297299,.97297299,.25675675,.25675675,.25675675,.97297299,.97297299,.97297299,.97297299,.97297299,.97297299,.97297299,.25675675,.25675675,.97297299,.97297299,.97297299,.97297299,.97297299,.97297299,.97297299,.97297299,.97297299,.97297299,.25675675,.25675675,.25675675
2004,1,1,1,1,1,1,1,.44736841,.44736841,.44736841,1,1,1,1,1,1,1,.44736841,.44736841,1,1,1,1,1,1,1,1,1,1,.44736841,.44736841,.44736841
2005,1,1,1,1,1,1,1,.32608697,.32608697,.32608697,1,1,1,1,1,1,1,.32608697,.32608697,1,1,1,1,1,1,1,1,1,1,.32608697,.32608697,.32608697
2006,.93137252,.93137252,.93137252,.93137252,.93137252,.93137252,.93137252,.28431374,.28431374,.28431374,.93137252,.93137252,.93137252,.93137252,.93137252,.93137252,.93137252,.28431374,.28431374,.93137252,.93137252,.93137252,.93137252,.93137252,.93137252,.93137252,.93137252,.93137252,.93137252,.28431374,.28431374,.28431374
2007,1,1,1,1,1,1,1,.32608697,.32608697,.32608697,1,1,1,1,1,1,1,.32608697,.32608697,1,1,1,1,1,1,1,1,1,1,.32608697,.32608697,.32608697
2008,1,1,1,1,1,1,1,.58490568,.58490568,.58490568,1,1,1,1,1,1,1,.58490568,.58490568,1,1,1,1,1,1,1,1,1,1,.58490568,.58490568,.58490568
2009,.9464286,.9464286,.9464286,.9464286,.9464286,.9464286,.9464286,.10714286,.10714286,.10714286,.9464286,.9464286,.9464286,.9464286,.9464286,.9464286,.9464286,.10714286,.10714286,.9464286,.9464286,.9464286,.9464286,.9464286,.9464286,.9464286,.9464286,.9464286,.9464286,.10714286,.10714286,.10714286
2010,1,1,1,1,1,1,1,.3508772,.3508772,.3508772,1,1,1,1,1,1,1,.3508772,.3508772,1,1,1,1,1,1,1,1,1,1,.3508772,.3508772,.3508772
2011,.98058254,.98058254,.98058254,.98058254,.98058254,.98058254,.98058254,.36893204,.36893204,.36893204,.98058254,.98058254,.98058254,.98058254,.98058254,.98058254,.98058254,.36893204,.36893204,.98058254,.98058254,.98058254,.98058254,.98058254,.98058254,.98058254,.98058254,.98058254,.98058254,.36893204,.36893204,.36893204
2012,1,1,1,1,1,1,1,.369863,.369863,.369863,1,1,1,1,1,1,1,.369863,.369863,1,1,1,1,1,1,1,1,1,1,.369863,.369863,.369863
2013,.97058821,.97058821,.97058821,.97058821,.97058821,.97058821,.97058821,.17647059,.17647059,.17647059,.97058821,.97058821,.97058821,.97058821,.97058821,.97058821,.97058821,.17647059,.17647059,.97058821,.97058821,.97058821,.97058821,.97058821,.97058821,.97058821,.97058821,.97058821,.97058821,.17647059,.17647059,.17647059
